,light1,light3,light5,light7,light9,light11,light13,light15,light17,light19,light21,light23,light25,light27,light29
sensor11,0.282651828,0.056234903,0.011392951,0.150242204,0.020693699,0.068926554,0.026003725,0.010137542,0.017931189,0.011116052,0.010962425,0.008172639,0.005238186,0.006890645,0.006715272
sensor12,0.239053246,0.101902174,0.014105558,0.180517711,0.028741248,0.057250471,0.034034287,0.010411529,0.01681049,0.011116052,0.010206396,0.007355375,0.005238186,0.006234394,0.005755948
sensor13,0.155920355,0.174365942,0.020344555,0.193384802,0.04905173,0.048210923,0.04512411,0.012877418,0.016063357,0.012598192,0.009072352,0.008989903,0.005789574,0.006890645,0.006715272
sensor14,0.090522481,0.24682971,0.032280028,0.166136845,0.083924445,0.035781544,0.051625042,0.016987232,0.014942658,0.013709797,0.008694337,0.008172639,0.005789574,0.005906268,0.006075723
sensor15,0.043968062,0.277400362,0.063203752,0.108613382,0.140640508,0.024105461,0.052389857,0.024658885,0.012327692,0.015191937,0.007560293,0.008172639,0.006616656,0.005578142,0.007354822
sensor16,0.024755127,0.236262077,0.112573206,0.065849228,0.185476856,0.017702448,0.052007449,0.033974464,0.010086294,0.017785683,0.007182279,0.008989903,0.006616656,0.006562519,0.007674597
sensor17,0.017365537,0.163798309,0.184728563,0.028383288,0.205787338,0.01393597,0.047036149,0.044385994,0.010086294,0.019267823,0.007182279,0.008581271,0.007719432,0.005578142,0.007994372
sensor18,0.014409701,0.100015097,0.260139048,0.017408417,0.180878256,0.013182674,0.034416694,0.047947833,0.008218462,0.018156218,0.006804264,0.008172639,0.006616656,0.004593764,0.006395498
sensor19,0.181414442,0.02906099,0.010036647,0.128670905,0.015328666,0.117514124,0.023709278,0.009041591,0.023908252,0.010004446,0.014364557,0.007764007,0.00551388,0.007218771,0.006715272
sensor20,0.192129347,0.047554348,0.011664212,0.198304572,0.019927265,0.114124294,0.034799102,0.009863554,0.025776084,0.011857122,0.013608528,0.008989903,0.005789574,0.007218771,0.006715272
sensor21,0.158137232,0.077747585,0.013834298,0.266424463,0.031423765,0.099811676,0.053154672,0.012055455,0.02727035,0.014080332,0.012852499,0.009807167,0.006065268,0.007218771,0.007035047
sensor22,0.111952293,0.121527778,0.018174469,0.285346655,0.056716063,0.077589454,0.074951912,0.014521344,0.026523217,0.016674077,0.011718455,0.011033062,0.00689235,0.006890645,0.007035047
sensor23,0.070940067,0.168327295,0.02929616,0.240311838,0.10615101,0.052354049,0.092542667,0.020275084,0.022787553,0.021120498,0.012096469,0.011441694,0.007443738,0.007218771,0.007994372
sensor24,0.035839513,0.183046498,0.05126828,0.143808659,0.191991539,0.030131827,0.099808414,0.03452244,0.01681049,0.024455313,0.008316323,0.01062443,0.007719432,0.006890645,0.008314147
sensor25,0.02253825,0.152475845,0.085718393,0.081365425,0.267102001,0.021092279,0.09368989,0.053427585,0.014195525,0.029642804,0.009828381,0.011033062,0.009924984,0.006562519,0.009273471
sensor26,0.016257099,0.122282609,0.136986673,0.028761732,0.304657232,0.016572505,0.076481543,0.075620582,0.012327692,0.031866015,0.007560293,0.011441694,0.009373596,0.006890645,0.008953697
sensor27,0.013670742,0.078125,0.172250569,0.01778686,0.263269834,0.013182674,0.052772265,0.090963888,0.011206993,0.029642804,0.006804264,0.01062443,0.010200678,0.006562519,0.009273471
sensor28,0.102715305,0.024154589,0.009765387,0.129427793,0.015711882,0.215442561,0.028680579,0.009863554,0.039971609,0.012227657,0.021546836,0.011033062,0.00689235,0.010500031,0.007354822
sensor29,0.105301662,0.034344807,0.010579169,0.193763246,0.019160832,0.203766478,0.044741703,0.010959505,0.043707273,0.012968727,0.018522719,0.011441694,0.006616656,0.009515653,0.007354822
sensor30,0.090153001,0.052083333,0.012477994,0.261126249,0.030657332,0.170621469,0.079540805,0.012877418,0.048190071,0.017044612,0.017388675,0.013076222,0.007168044,0.009515653,0.008314147
sensor31,0.070570587,0.075483092,0.016004384,0.283832879,0.055183197,0.120903955,0.124664915,0.016439257,0.047816504,0.023714243,0.015876616,0.014302118,0.007995126,0.009187527,0.008633922
sensor32,0.046923898,0.090202295,0.022785902,0.252043597,0.101552411,0.075329567,0.168641803,0.026576799,0.041839441,0.034089225,0.014364557,0.015528014,0.00964929,0.008859401,0.009913021
sensor33,0.028080443,0.098128019,0.037976503,0.143051771,0.187776155,0.038418079,0.18585015,0.045755932,0.02727035,0.044093671,0.01134044,0.015528014,0.011303454,0.007875023,0.010232796
sensor34,0.018473976,0.071708937,0.057507277,0.077580987,0.261736968,0.023352166,0.15908161,0.079456409,0.019799021,0.051133837,0.009450367,0.015528014,0.012130536,0.007875023,0.011511896
sensor35,0.014040222,0.069067029,0.078936875,0.028383288,0.287412483,0.016949153,0.117399169,0.121102526,0.01568979,0.054468653,0.008694337,0.016345278,0.0137847,0.006890645,0.010872346
sensor36,0.012562303,0.05321558,0.098467648,0.018543748,0.261736968,0.013182674,0.077246359,0.163844594,0.013074825,0.054098118,0.009072352,0.013484854,0.014336088,0.007546897,0.011192121
sensor37,0.056160886,0.019625604,0.009222865,0.096881623,0.014945449,0.308474576,0.03173984,0.009863554,0.05977063,0.012968727,0.032887276,0.013076222,0.007443738,0.012140661,0.008314147
sensor38,0.058008284,0.026041667,0.010036647,0.142294883,0.018394399,0.298681733,0.054684303,0.010959505,0.075460421,0.015191937,0.030241173,0.015119382,0.007719432,0.011484409,0.008314147
sensor39,0.050988173,0.033967391,0.01112169,0.175976385,0.026825165,0.242937853,0.101338045,0.013699381,0.087414547,0.020749963,0.0283511,0.018797069,0.00827082,0.011156283,0.009593246
sensor40,0.041381706,0.043402778,0.013834298,0.18922192,0.045219564,0.165725047,0.174760326,0.017535207,0.09227091,0.032607085,0.025326983,0.022066125,0.00964929,0.011812535,0.010552571
sensor41,0.0306668,0.050196256,0.01844573,0.160460188,0.079325845,0.091148776,0.252389092,0.028494712,0.076207554,0.051133837,0.020034777,0.024517916,0.012130536,0.011156283,0.011831671
sensor42,0.020690853,0.050196256,0.026583552,0.106342719,0.132592959,0.044444444,0.282216894,0.055071511,0.049684336,0.076700756,0.016254631,0.025743812,0.015438863,0.010500031,0.014709644
sensor43,0.01514866,0.033967391,0.034992635,0.062443233,0.172064273,0.024482109,0.232121483,0.099457505,0.029511749,0.093004298,0.012096469,0.02533518,0.019574273,0.009187527,0.014709644
sensor44,0.012192824,0.038118961,0.045571804,0.027247956,0.192757972,0.0173258,0.15908161,0.167132446,0.020546154,0.098562324,0.010206396,0.022883389,0.021779825,0.008203149,0.015029419
sensor45,0.011084385,0.034344807,0.051810801,0.017029973,0.177429306,0.01393597,0.096749152,0.232889473,0.016063357,0.094115903,0.009072352,0.019614333,0.023985377,0.008859401,0.015029419
sensor46,0.026233046,0.013586957,0.008137822,0.056766576,0.012646149,0.293785311,0.030975025,0.010137542,0.096006575,0.014080332,0.066152567,0.018797069,0.00827082,0.018046929,0.010232796
sensor47,0.03029732,0.017738527,0.008680344,0.080230094,0.016095099,0.298305085,0.053919488,0.010959505,0.133363219,0.016674077,0.057836244,0.021657493,0.00827082,0.017062551,0.009913021
sensor48,0.026233046,0.019625604,0.009765387,0.089312746,0.021076915,0.240301318,0.099426006,0.012877418,0.170346296,0.025196384,0.053300068,0.030647396,0.00964929,0.017718803,0.011831671
sensor49,0.024385648,0.025664251,0.011664212,0.095367847,0.032956631,0.162711864,0.173230695,0.017535207,0.180059024,0.044464206,0.043471687,0.040454562,0.011854842,0.017062551,0.01375032
sensor50,0.018473976,0.026419082,0.013291776,0.082500757,0.049434947,0.089642185,0.238240007,0.027124774,0.148679443,0.078553431,0.032509261,0.046992673,0.016265945,0.016406299,0.016628294
sensor51,0.014779181,0.027173913,0.018174469,0.063200121,0.077026545,0.043691149,0.277245594,0.054797523,0.091897344,0.134874759,0.020790807,0.048218569,0.022882601,0.014109417,0.019186493
sensor52,0.013301263,0.019625604,0.022514641,0.043521041,0.096187378,0.025988701,0.237475191,0.102197381,0.048937203,0.17748629,0.015876616,0.046992673,0.031704809,0.012140661,0.020785367
sensor53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sensor54,0.008498029,0.017361111,0.021429598,0.014380866,0.082774795,0.014689266,0.091777852,0.222203956,0.021293287,0.188231807,0.010962425,0.036368243,0.055690186,0.011812535,0.02686109
sensor55,0.018104496,0.010945048,0.006510258,0.034816833,0.009580416,0.185687382,0.026003725,0.008767604,0.123276925,0.014821402,0.119452635,0.02737834,0.009924984,0.029859464,0.012790995
sensor56,0.018104496,0.011699879,0.005967736,0.040115047,0.011113283,0.18606403,0.041300033,0.009315579,0.193880982,0.019267823,0.117940576,0.038002771,0.01102776,0.033796975,0.014070095
sensor57,0.017735017,0.013209541,0.006781518,0.044656373,0.014945449,0.159322034,0.071892651,0.01150748,0.261122941,0.031124944,0.102819989,0.05679984,0.012130536,0.035109479,0.017587618
sensor58,0.01551814,0.014341787,0.008680344,0.046170148,0.020693699,0.113370998,0.116251945,0.015069319,0.283536927,0.055209723,0.079005065,0.080909124,0.016541639,0.034781353,0.022064467
sensor59,0.012192824,0.015474034,0.008951604,0.04238571,0.028358032,0.070056497,0.153345494,0.022740972,0.241323919,0.10337928,0.055190141,0.099706194,0.022882601,0.034781353,0.027820414
sensor60,0.010345426,0.013586957,0.010036647,0.032167726,0.036788798,0.033898305,0.165200133,0.04246808,0.146064478,0.195271973,0.033643305,0.11155652,0.038321465,0.029859464,0.036134561
sensor61,0.009236988,0.009812802,0.012206733,0.024220406,0.043686697,0.021468927,0.145314932,0.072606718,0.080316784,0.269749518,0.023058895,0.102157985,0.057895738,0.024937574,0.041890509
sensor62,0.008867508,0.012077295,0.014376819,0.016651529,0.048285297,0.014689266,0.108986199,0.11260891,0.042586574,0.301986068,0.01701066,0.08213502,0.079675563,0.020015684,0.042530059
sensor63,0.00738959,0.011699879,0.01464808,0.010974871,0.045602781,0.012052731,0.069215796,0.147679325,0.025028951,0.265303098,0.013986543,0.059251631,0.099249837,0.017062551,0.042210284
sensor64,0.013301263,0.008680556,0.005967736,0.021571299,0.008813983,0.102448211,0.021414832,0.008219628,0.121782659,0.014821402,0.202993876,0.031464659,0.010752066,0.043312629,0.01375032
sensor65,0.012192824,0.009057971,0.005425215,0.023085074,0.009963633,0.09905838,0.030975025,0.008767604,0.193880982,0.020008893,0.212444243,0.051078993,0.011854842,0.056109542,0.017267843
sensor66,0.012931783,0.009812802,0.006238997,0.025355737,0.011879716,0.090772128,0.047418557,0.010959505,0.26747357,0.030754409,0.175398806,0.083769548,0.0137847,0.059062675,0.021424917
sensor67,0.011084385,0.010945048,0.007052779,0.024977293,0.014562232,0.070056497,0.068833389,0.013973368,0.283910493,0.056321328,0.126256899,0.132396749,0.019298579,0.061359557,0.030058839
sensor68,0.009236988,0.009435386,0.007052779,0.021192855,0.016095099,0.044821092,0.076481543,0.017535207,0.237961821,0.101897139,0.084297271,0.183475742,0.028672175,0.062015809,0.044448708
sensor69,0.008498029,0.010190217,0.008680344,0.01967908,0.022609782,0.027495292,0.08871859,0.031234588,0.146064478,0.190825552,0.041203599,0.194100172,0.049900612,0.045281384,0.056280379
sensor70,0.008498029,0.009057971,0.008680344,0.015516197,0.024909082,0.018079096,0.080688028,0.046577895,0.082558183,0.271972729,0.027217056,0.177754894,0.086292219,0.036093857,0.069071374
sensor71,0.00775907,0.009435386,0.010307908,0.012488647,0.026441948,0.014689266,0.067686166,0.067126966,0.046322238,0.306432489,0.019656763,0.135257172,0.133711586,0.02690633,0.074827322
sensor72,0.006650631,0.009435386,0.009494126,0.010596427,0.026058732,0.011676083,0.047418557,0.080004384,0.025776084,0.268637913,0.015120587,0.084995444,0.170378886,0.021000062,0.070350473
sensor73,0.009236988,0.006416063,0.004611433,0.013623978,0.00804755,0.051224105,0.016061124,0.007671653,0.092644477,0.014450867,0.296363499,0.034733715,0.010752066,0.065297069,0.01438987
sensor74,0.009975947,0.007170894,0.004882693,0.01475931,0.008430766,0.055367232,0.023326871,0.008493616,0.140460981,0.019267823,0.307703939,0.059660263,0.011854842,0.087937761,0.018866718
sensor75,0.009236988,0.00830314,0.005425215,0.015516197,0.009963633,0.049717514,0.03021021,0.009863554,0.177070492,0.028531199,0.253269827,0.107470201,0.014887475,0.105000312,0.025901765
sensor76,0.009236988,0.008680556,0.005967736,0.01475931,0.009963633,0.040301318,0.037858364,0.01150748,0.187530352,0.046687417,0.174264762,0.18306711,0.020125661,0.111890957,0.039652085
sensor77,0.008867508,0.008680556,0.006510258,0.01475931,0.013029366,0.032391714,0.045506518,0.015617294,0.165863499,0.083370387,0.099795872,0.268062553,0.032531891,0.09942217,0.061716552
sensor78,0.00738959,0.00830314,0.00732404,0.012488647,0.014945449,0.021468927,0.046271334,0.022466984,0.1090814,0.13858011,0.048007863,0.297075421,0.061755454,0.073500218,0.093694039
sensor79,0.006650631,0.006793478,0.00732404,0.012110203,0.015711882,0.015442561,0.044741703,0.030138638,0.065374127,0.184526456,0.0283511,0.250082748,0.111656066,0.049547022,0.117037606
sensor80,0.006281152,0.007170894,0.007866561,0.010596427,0.015711882,0.012052731,0.039387995,0.036166365,0.039598043,0.198606788,0.019278748,0.177346262,0.181406646,0.033796975,0.128549501
sensor81,0.006281152,0.007170894,0.008409083,0.008704208,0.015711882,0.011299435,0.030592617,0.043838019,0.024655385,0.187120202,0.016254631,0.109921992,0.254741247,0.024609448,0.122793553
sensor82,0.008498029,0.006038647,0.004882693,0.010974871,0.007281116,0.032391714,0.01338427,0.007123678,0.065747693,0.014450867,0.308459968,0.035550979,0.01102776,0.095156532,0.015668969
sensor83,0.00775907,0.006793478,0.004882693,0.010974871,0.007664333,0.031638418,0.016825939,0.007945641,0.085546714,0.017415147,0.309215998,0.059660263,0.01240623,0.139125413,0.019826042
sensor84,0.00775907,0.006793478,0.005425215,0.012110203,0.00804755,0.030131827,0.020650017,0.008767604,0.102357204,0.025566919,0.2551599,0.112373784,0.015714557,0.18178179,0.030698388
sensor85,0.00738959,0.007170894,0.005696476,0.011731759,0.009197199,0.027495292,0.024474094,0.010685517,0.107213568,0.03816511,0.175020791,0.187153429,0.020952743,0.193922451,0.050844206
sensor86,0.006281152,0.006793478,0.005153954,0.010217984,0.009580416,0.020715631,0.024856502,0.011781467,0.09227091,0.055950793,0.100551901,0.263567602,0.033634667,0.174891144,0.089856741
sensor87,0.006650631,0.007170894,0.006238997,0.010974871,0.011496499,0.016949153,0.027533356,0.016713245,0.070604057,0.086705202,0.05103198,0.301161741,0.0642367,0.114844091,0.148375544
sensor88,0.005542193,0.006038647,0.005967736,0.009082652,0.011879716,0.012806026,0.026386132,0.019179133,0.047069371,0.105231955,0.029485144,0.252943172,0.111104678,0.069890832,0.19666155
sensor89,0.005172713,0.006416063,0.006238997,0.008704208,0.011113283,0.011299435,0.024474094,0.022192997,0.030632448,0.113383726,0.019278748,0.176120367,0.182509422,0.042000125,0.218406242
sensor90,0.005172713,0.006038647,0.006238997,0.008325764,0.011879716,0.010546139,0.020650017,0.023562935,0.021293287,0.10708463,0.01701066,0.109104728,0.250330144,0.027562582,0.201458173
sensor91,0.005542193,0.00415157,0.002983868,0.007190433,0.0045986,0.016572505,0.009560193,0.004931777,0.03773021,0.010004446,0.190519392,0.028604236,0.007995126,0.120422232,0.011831671
sensor92,0.007020111,0.006038647,0.004340172,0.010217984,0.0068979,0.02259887,0.01338427,0.007671653,0.054167134,0.016303542,0.218870492,0.053530784,0.012130536,0.19884434,0.020785367
sensor93,0.00738959,0.006038647,0.005153954,0.009461096,0.007281116,0.021092279,0.015296309,0.008767604,0.059397064,0.021491033,0.185605202,0.090307659,0.015163169,0.270375803,0.033576362
sensor94,0.006650631,0.006416063,0.005153954,0.008704208,0.00804755,0.01920904,0.017208347,0.009589567,0.061264896,0.030013339,0.136463295,0.143429811,0.020952743,0.295313377,0.061716552
sensor95,0.005911672,0.006416063,0.005153954,0.008704208,0.008430766,0.016572505,0.01835557,0.010685517,0.053420001,0.040017786,0.080895139,0.189196589,0.031704809,0.248063236,0.116717831
sensor96,0.005542193,0.006793478,0.005967736,0.008325764,0.010346849,0.01393597,0.019502793,0.013425393,0.045948672,0.056691863,0.04536176,0.215757665,0.056792962,0.155859838,0.208493221
sensor97,0.005542193,0.005661232,0.005425215,0.007568877,0.008813983,0.010922787,0.017208347,0.013151406,0.032126714,0.058915073,0.028729115,0.18306711,0.092081793,0.093844029,0.30218726
sensor98,0.006281152,0.005283816,0.005425215,0.007568877,0.009963633,0.011299435,0.01835557,0.015617294,0.025028951,0.068548985,0.019278748,0.14097802,0.141706711,0.049875148,0.318495779
sensor99,0.005172713,0.005283816,0.005967736,0.006811989,0.009580416,0.009039548,0.015678716,0.015617294,0.017931189,0.063732029,0.015876616,0.091124923,0.184163586,0.03018759,0.28971604
